min_support,min_confidence,min_lift,TopK,RulesAvailable,RulesSelected,AvgLift,AvgConfidence,AvgSupport,ActivationProxyMean,RuleQualityScore
0.01,0.2,3,300,2302,300,34.1841616298611,0.6971786763721731,0.012005808038769585,0.018301426113978135,23.83246855799899
0.01,0.2,3,400,2302,400,29.73211822023125,0.6805122877609436,0.012313689584373786,0.019295266633372176,20.233071790028404
0.01,0.2,3,500,2302,500,26.754209299517505,0.663406094592109,0.012650796293213475,0.020445147328117197,17.748905505292793
0.01,0.2,4,50,2158,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.2,4,100,2158,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.2,4,150,2158,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.2,4,200,2158,200,42.20957458661273,0.7271564857166892,0.011647522335053548,0.017116419732534263,30.69296591999779
0.01,0.2,4,250,2158,250,37.51389115396323,0.7092871278928585,0.01181355085733311,0.017741745741079853,26.60812011267989
0.01,0.2,4,300,2158,300,34.1841616298611,0.6971786763721731,0.012005808038769585,0.018301426113978135,23.83246855799899
0.01,0.2,4,400,2158,400,29.73211822023125,0.6805122877609436,0.012313689584373786,0.019295266633372176,20.233071790028404
0.01,0.2,4,500,2158,500,26.754209299517505,0.663406094592109,0.012650796293213475,0.020445147328117197,17.748905505292793
0.01,0.2,5,50,2021,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.2,5,100,2021,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.2,5,150,2021,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.2,5,200,2021,200,42.20957458661273,0.7271564857166892,0.011647522335053548,0.017116419732534263,30.69296591999779
0.01,0.2,5,250,2021,250,37.51389115396323,0.7092871278928585,0.01181355085733311,0.017741745741079853,26.60812011267989
0.01,0.2,5,300,2021,300,34.1841616298611,0.6971786763721731,0.012005808038769585,0.018301426113978135,23.83246855799899
0.01,0.2,5,400,2021,400,29.73211822023125,0.6805122877609436,0.012313689584373786,0.019295266633372176,20.233071790028404
0.01,0.2,5,500,2021,500,26.754209299517505,0.663406094592109,0.012650796293213475,0.020445147328117197,17.748905505292793
0.01,0.2,6,50,1820,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.2,6,100,1820,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.2,6,150,1820,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.2,6,200,1820,200,42.20957458661273,0.7271564857166892,0.011647522335053548,0.017116419732534263,30.69296591999779
0.01,0.2,6,250,1820,250,37.51389115396323,0.7092871278928585,0.01181355085733311,0.017741745741079853,26.60812011267989
0.01,0.2,6,300,1820,300,34.1841616298611,0.6971786763721731,0.012005808038769585,0.018301426113978135,23.83246855799899
0.01,0.2,6,400,1820,400,29.73211822023125,0.6805122877609436,0.012313689584373786,0.019295266633372176,20.233071790028404
0.01,0.2,6,500,1820,500,26.754209299517505,0.663406094592109,0.012650796293213475,0.020445147328117197,17.748905505292793
0.01,0.2,7,50,1570,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.2,7,100,1570,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.2,7,150,1570,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.2,7,200,1570,200,42.20957458661273,0.7271564857166892,0.011647522335053548,0.017116419732534263,30.69296591999779
0.01,0.2,7,250,1570,250,37.51389115396323,0.7092871278928585,0.01181355085733311,0.017741745741079853,26.60812011267989
0.01,0.2,7,300,1570,300,34.1841616298611,0.6971786763721731,0.012005808038769585,0.018301426113978135,23.83246855799899
0.01,0.2,7,400,1570,400,29.73211822023125,0.6805122877609436,0.012313689584373786,0.019295266633372176,20.233071790028404
0.01,0.2,7,500,1570,500,26.754209299517505,0.663406094592109,0.012650796293213475,0.020445147328117197,17.748905505292793
0.01,0.2,8,50,1309,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.2,8,100,1309,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.2,8,150,1309,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.2,8,200,1309,200,42.20957458661273,0.7271564857166892,0.011647522335053548,0.017116419732534263,30.69296591999779
0.01,0.2,8,250,1309,250,37.51389115396323,0.7092871278928585,0.01181355085733311,0.017741745741079853,26.60812011267989
0.01,0.2,8,300,1309,300,34.1841616298611,0.6971786763721731,0.012005808038769585,0.018301426113978135,23.83246855799899
0.01,0.2,8,400,1309,400,29.73211822023125,0.6805122877609436,0.012313689584373786,0.019295266633372176,20.233071790028404
0.01,0.2,8,500,1309,500,26.754209299517505,0.663406094592109,0.012650796293213475,0.020445147328117197,17.748905505292793
0.01,0.2,9,50,1104,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.2,9,100,1104,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.2,9,150,1104,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.2,9,200,1104,200,42.20957458661273,0.7271564857166892,0.011647522335053548,0.017116419732534263,30.69296591999779
0.01,0.2,9,250,1104,250,37.51389115396323,0.7092871278928585,0.01181355085733311,0.017741745741079853,26.60812011267989
0.01,0.2,9,300,1104,300,34.1841616298611,0.6971786763721731,0.012005808038769585,0.018301426113978135,23.83246855799899
0.01,0.2,9,400,1104,400,29.73211822023125,0.6805122877609436,0.012313689584373786,0.019295266633372176,20.233071790028404
0.01,0.2,9,500,1104,500,26.754209299517505,0.663406094592109,0.012650796293213475,0.020445147328117197,17.748905505292793
0.01,0.2,10,50,883,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.2,10,100,883,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.2,10,150,883,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.2,10,200,883,200,42.20957458661273,0.7271564857166892,0.011647522335053548,0.017116419732534263,30.69296591999779
0.01,0.2,10,250,883,250,37.51389115396323,0.7092871278928585,0.01181355085733311,0.017741745741079853,26.60812011267989
0.01,0.2,10,300,883,300,34.1841616298611,0.6971786763721731,0.012005808038769585,0.018301426113978135,23.83246855799899
0.01,0.2,10,400,883,400,29.73211822023125,0.6805122877609436,0.012313689584373786,0.019295266633372176,20.233071790028404
0.01,0.2,10,500,883,500,26.754209299517505,0.663406094592109,0.012650796293213475,0.020445147328117197,17.748905505292793
